iter	RMSE
0	0.816999873
1	0.8006760218
2	0.7841497145
3	0.7696523106
4	0.7533908139
5	0.7393623906
6	0.7245566594
7	0.7103821946
8	0.6961568578
9	0.6823857104
10	0.6690940343
11	0.6577653449
12	0.644299135
13	0.6319571875
14	0.6223166483
15	0.610193471
16	0.5969169971
17	0.585129135
18	0.5741225508
19	0.5637433647
20	0.5534087434
21	0.5423715097
22	0.531412929
23	0.5224105979
24	0.5125247402
25	0.5026285233
26	0.4941130091
27	0.4856448556
28	0.4772776523
29	0.468612695
30	0.4595263621
31	0.4521649535
32	0.4433630867
33	0.4351345829
34	0.4272416053
35	0.4204004805
36	0.412374105
37	0.4058585661
38	0.3990621196
39	0.3926583554
40	0.3866190909
41	0.3802052784
42	0.3735637344
43	0.3672413411
44	0.360996079
45	0.3552563188
46	0.3502353841
47	0.3441221619
48	0.3388364403
49	0.3334909176
50	0.3290094773
51	0.3238599032
52	0.319159352
53	0.3148087726
54	0.3101618842
55	0.3059250392
56	0.3005608009
57	0.2964299797
58	0.2919609791
59	0.2873173184
60	0.2834213881
61	0.2797351965
62	0.2756541294
63	0.2716501133
64	0.2679204853
65	0.2650153059
66	0.2618098268
67	0.2584974292
68	0.2546333101
69	0.2514110333
70	0.2484445644
71	0.245563546
72	0.2427387778
73	0.2400151375
74	0.2373921525
75	0.235062316
76	0.2318441158
77	0.2296173959
78	0.2269796225
79	0.2246995471
80	0.2219017986
81	0.219937204
82	0.2172946307
83	0.2146072347
84	0.2114720074
85	0.2095794172
86	0.2080712442
87	0.2063430603
88	0.2050463124
89	0.2035491744
90	0.2010820299
91	0.1990158575
92	0.1968962492
93	0.1953321159
94	0.1935909384
95	0.191730055
96	0.1893513359
97	0.1872300168
98	0.1859410007
99	0.1846327098
100	0.1832751747
101	0.1820975567
102	0.1804892321
103	0.1792291509
104	0.1773057913
105	0.1760558916
106	0.1751053775
107	0.1740411594
108	0.1730882156
109	0.1714277262
110	0.1700942621
111	0.1688248152
112	0.1673010271
113	0.1664963362
114	0.1656123432
115	0.1649930628
116	0.1642406937
117	0.1633300745
118	0.1624531402
119	0.1617136985
120	0.1608869657
121	0.160186618
122	0.1591561724
123	0.1584184326
124	0.1575551888
125	0.1570750842
126	0.1557400541
127	0.15433587
128	0.1529546556
129	0.1519878355
130	0.1515174182
131	0.1506051706
132	0.1500754199
133	0.1495117525
134	0.1485624071
135	0.1475007663
136	0.1464248731
137	0.1458716367
138	0.1444798982
139	0.1437917053
140	0.1431346598
141	0.1425258166
142	0.1412209252
143	0.1403826442
144	0.1399447723
145	0.1393238576
146	0.1378491453
147	0.1370871436
148	0.1362445397
149	0.1349351612
150	0.133973081
151	0.1333729889
152	0.1329889293
153	0.1317927598
154	0.1311976139
155	0.129993271
156	0.1287578632
157	0.1274867487
158	0.1268119874
159	0.1259784782
160	0.1256519849
161	0.1251305872
162	0.1248981416
163	0.1238652754
164	0.1230507198
165	0.1221791166
166	0.1214020097
167	0.120923369
168	0.1200706149
169	0.1198344632
170	0.119525367
171	0.1186647129
172	0.1183226082
173	0.1174678616
174	0.1168895379
175	0.1165863844
176	0.1162235884
177	0.1154314358
178	0.1146958863
179	0.1137813508
180	0.1127107861
181	0.112075146
182	0.111651418
183	0.1113749836
184	0.1105929736
185	0.1099911174
186	0.1091807065
187	0.1085433544
188	0.107711434
189	0.1071077238
190	0.1068608666
191	0.106417482
192	0.1058255717
193	0.1055442573
194	0.1052040198
195	0.104726296
196	0.1043285902
197	0.1040957397
198	0.103320784
199	0.1025506875
200	0.1019691615
201	0.1014229138
202	0.1009788792
203	0.1003727088
204	0.09984057429
205	0.09921639593
206	0.09830302783
207	0.09798516277
208	0.09709581681
209	0.09673658201
210	0.09641930786
211	0.09588299249
212	0.09504218925
213	0.09426730986
214	0.0937319721
215	0.09356644155
216	0.09334297722
217	0.09312501728
218	0.09285047038
219	0.09242716278
220	0.09180253668
221	0.09155767005
222	0.09138614296
223	0.09124530964
224	0.09103321609
225	0.0904970573
226	0.08989306414
227	0.08948402103
228	0.08937649188
229	0.08894531121
230	0.08837036807
231	0.08809235693
232	0.08767466605
233	0.08722831103
234	0.08708578869
235	0.08676909984
236	0.08653633922
237	0.08596165285
238	0.08578731278
239	0.08540405399
240	0.08515282884
241	0.08502479626
242	0.08481754409
243	0.08435364543
244	0.0839516155
245	0.083636216
246	0.08319601494
247	0.08286528401
248	0.08239208353
249	0.08212875075
250	0.08188099594
251	0.08165149024
252	0.08148139537
253	0.08111639602
254	0.08070858724
255	0.08038755016
256	0.08021968665
257	0.07954984689
258	0.07937022867
259	0.07921101326
260	0.07885918152
261	0.07870688289
262	0.07827276196
263	0.07800782605
264	0.0775453903
265	0.0771815568
266	0.07698306816
267	0.07650267891
268	0.07607013781
269	0.07586911373
270	0.07563843248
271	0.07536443478
272	0.07517169383
273	0.07483553953
274	0.07445839762
275	0.0742294805
276	0.07389996832
277	0.07337479656
278	0.07322848144
279	0.07302858845
280	0.07250006895
281	0.07207108543
282	0.07178420614
283	0.07157622465
284	0.07136931059
285	0.07116045346
286	0.07096402384
287	0.07063670442
288	0.07042815942
289	0.07010887268
290	0.06984859682
291	0.06955136251
292	0.06930048819
293	0.06916067528
294	0.06865737248
295	0.06833444462
296	0.06791427956
297	0.06749760643
298	0.06730140828
299	0.06696341129
300	0.0666918045
301	0.06636811448
302	0.06613534122
303	0.06579547772
304	0.06548312873
305	0.06517265405
306	0.06486162308
307	0.06467059614
308	0.06449914526
309	0.06413310973
310	0.06389846533
311	0.06367160522
312	0.06348949989
313	0.06332588367
314	0.06311652482
315	0.0629116981
316	0.06284996557
317	0.06267181264
318	0.06245287235
319	0.06216660532
320	0.06178261768
321	0.06144528954
322	0.06117341438
323	0.06072864206
324	0.06036769676
325	0.06023554371
326	0.05981222545
327	0.05956554041
328	0.0593343732
329	0.0591024602
330	0.05878058222
331	0.05835806975
332	0.05817454366
333	0.05785087701
334	0.05783281303
335	0.0574255017
336	0.05717368646
337	0.05695352556
338	0.05676639478
339	0.05661369547
340	0.05643829837
341	0.05615533358
342	0.05585695104
343	0.05551263194
344	0.0552188712
345	0.05501078977
346	0.05486944232
347	0.05466475109
348	0.05440385329
349	0.05410568039
350	0.05382408849
351	0.05369977819
352	0.05355135114
353	0.05352850554
354	0.05319030445
355	0.05293458196
356	0.05275029186
357	0.05250952069
358	0.05236086753
359	0.05212392824
360	0.05190375938
361	0.05173388555
362	0.05158741564
363	0.05149871669
364	0.05133229303
365	0.05113366846
366	0.05092485856
367	0.05069890907
368	0.05058971936
369	0.0504184669
370	0.05030763202
371	0.05020634331
372	0.04994617805
373	0.04965707045
374	0.0493972079
375	0.04912798076
376	0.04904267193
377	0.04891846961
378	0.04879477939
379	0.04876248957
380	0.048526953
381	0.04847079573
382	0.04819818175
383	0.04799012178
384	0.04781090544
385	0.04773722879
386	0.0476536438
387	0.04749325811
388	0.04735836042
389	0.04726146972
390	0.04702459232
391	0.04698330216
392	0.04688107712
393	0.04676330344
394	0.04656609729
395	0.04640214511
396	0.04621262402
397	0.04607240718
398	0.04591305188
399	0.04564898342
400	0.04553460623
401	0.04533204936
402	0.04519142581
403	0.04509337625
404	0.04481285092
405	0.04451794562
406	0.04444482894
407	0.04432266844
408	0.04421307788
409	0.04411062078
410	0.04394729404
411	0.0438196914
412	0.04362487471
413	0.04345299096
414	0.04335256504
415	0.04326342039
416	0.04316287705
417	0.04304320877
418	0.04287498552
419	0.04275890065
420	0.0426408069
421	0.04260845738
422	0.04248199359
423	0.04232843513
424	0.04218298931
425	0.04209738007
426	0.04199836733
427	0.04186504889
428	0.04176260588
429	0.04172471243
430	0.04155019064
431	0.04139499671
432	0.04122525993
433	0.0411079877
434	0.04104145626
435	0.04083788375
436	0.04077104956
437	0.04069027751
438	0.04059809135
439	0.04057780969
440	0.04047513232
441	0.04040688458
442	0.04029531556
443	0.04015440631
444	0.04008043824
445	0.04000540928
446	0.03978634861
447	0.03970021337
448	0.03951280201
449	0.03942705218
450	0.03932155064
451	0.03916090848
452	0.03905940434
453	0.0389510858
454	0.03883100239
455	0.03864321928
456	0.03857558242
457	0.03843031353
458	0.03828552047
459	0.03821117641
460	0.03812054869
461	0.03796862829
462	0.03788586874
463	0.03781723449
464	0.03775873177
465	0.03771284464
466	0.03758900986
467	0.03743365439
468	0.03728030048
469	0.03717947798
470	0.03712596781
471	0.0370750613
472	0.03694431707
473	0.03679942953
474	0.03667399331
475	0.03658374981
476	0.03644759432
477	0.03640148927
478	0.03633234887
479	0.03626873582
480	0.03609539946
481	0.03599665926
482	0.0358926073
483	0.03582777832
484	0.03566848015
485	0.03553905228
486	0.03546752196
487	0.03538812224
488	0.03528582723
489	0.0351298199
490	0.03507760251
491	0.03501489211
492	0.03490029188
493	0.03473545684
494	0.03460881853
495	0.03447046776
496	0.03439715315
497	0.03427554006
498	0.03422038271
499	0.03411890333
500	0.03398603849
501	0.03394037706
502	0.03384538626
503	0.03376288793
504	0.03362840977
505	0.03359751849
506	0.0334458692
507	0.03335020686
508	0.03325880905
509	0.03309503384
510	0.03296938072
511	0.03286132264
512	0.03275874521
513	0.03268069361
514	0.03261293869
515	0.03249145654
516	0.03239502814
517	0.03225998854
518	0.03216736943
519	0.03204197373
520	0.03197232366
521	0.03186012128
522	0.03167823036
523	0.03158089216
524	0.03149429751
525	0.03137874121
526	0.03127942531
527	0.03116996728
528	0.03110027053
529	0.03099321469
530	0.03091894758
531	0.03080652047
532	0.03069931155
533	0.03055798424
534	0.0303936886
535	0.0303421691
536	0.03023676821
537	0.03014728258
538	0.0300971918
539	0.03004798758
540	0.02993353114
541	0.02986189575
542	0.02975399133
543	0.02962716808
544	0.02952962495
545	0.02944981128
546	0.02930064417
547	0.02923712497
548	0.02917238717
549	0.02909968778
550	0.02902299435
551	0.02894506703
552	0.02891594514
553	0.02886014316
554	0.02876957975
555	0.02871418286
556	0.02866773753
557	0.02861064503
558	0.0285569143
559	0.02849252812
560	0.02843380695
561	0.02836108369
562	0.02827151031
563	0.02821066161
564	0.02811510937
565	0.02801932287
566	0.0279627148
567	0.02787058791
568	0.02781690714
569	0.02769942662
570	0.02763898753
571	0.02760005467
572	0.02753248092
573	0.02744472445
574	0.02739885607
575	0.02729503957
576	0.02722993013
577	0.02717185086
578	0.0270731893
579	0.02700107624
580	0.02697762726
581	0.02686105095
582	0.0267629699
583	0.02663465505
584	0.02656296818
585	0.02646591037
586	0.02640691077
587	0.02634660585
588	0.02627081668
589	0.02621577399
590	0.02617497471
591	0.02609957286
592	0.02607533388
593	0.02604501414
594	0.02594244485
595	0.02586076145
596	0.02577305771
597	0.02570122478
598	0.02564694551
599	0.02559348644
600	0.02548451619
601	0.02544138665
602	0.02535650647
603	0.02530223925
604	0.02519522272
605	0.02513501659
606	0.02503028459
607	0.02497763513
608	0.02492625552
609	0.02484298587
610	0.02482459949
611	0.02477953969
612	0.02472739926
613	0.02468490573
614	0.02463037064
615	0.02459361205
616	0.02449690553
617	0.02444152522
618	0.02437271195
619	0.024292838
620	0.02419195793
621	0.02414080615
622	0.02403910988
623	0.02398705624
624	0.02391471759
625	0.02386626189
626	0.02377402817
627	0.02372332827
628	0.02367671807
629	0.02357894386
630	0.02351597877
631	0.02345278154
632	0.02339780652
633	0.02332003563
634	0.02327612186
635	0.02322313662
636	0.02312640246
637	0.02307440781
638	0.02300442301
639	0.02294149354
640	0.02286828296
641	0.02281373245
642	0.02276728267
643	0.02267811855
644	0.02262936604
645	0.02256294797
646	0.02248347173
