iter	Passed	Remaining
0	0	574
1	1	553
2	1	520
3	2	499
4	2	483
5	2	473
6	3	464
7	3	456
8	4	452
9	4	447
10	4	443
11	5	440
12	5	437
13	6	435
14	6	434
15	7	431
16	7	430
17	7	430
18	8	431
19	8	430
20	9	431
21	9	429
22	10	428
23	10	422
24	10	421
25	11	419
26	11	418
27	12	417
28	12	416
29	12	415
30	13	414
31	13	413
32	14	413
33	14	412
34	14	411
35	15	410
36	15	409
37	16	408
38	16	408
39	17	408
40	17	408
41	17	409
42	18	408
43	18	408
44	19	405
45	19	404
46	19	404
47	20	403
48	20	403
49	21	402
50	21	402
51	22	401
52	22	401
53	22	400
54	23	400
55	23	399
56	24	399
57	24	398
58	24	398
59	25	398
60	25	397
61	26	397
62	26	396
63	27	397
64	27	396
65	28	397
66	28	397
67	29	398
68	29	398
69	30	399
70	30	398
71	30	398
72	31	397
73	31	397
74	32	399
75	32	400
76	33	400
77	33	400
78	34	399
79	34	398
80	35	398
81	35	398
82	36	398
83	36	398
84	36	398
85	37	397
86	37	397
87	38	396
88	38	396
89	39	395
90	39	395
91	39	394
92	40	394
93	40	393
94	41	393
95	41	392
96	42	392
97	42	391
98	42	391
99	43	390
100	43	389
101	44	389
102	44	388
103	45	392
104	47	400
105	47	400
106	47	399
107	48	398
108	48	397
109	49	396
110	49	395
111	49	395
112	50	394
113	50	394
114	51	393
115	51	393
116	52	392
117	52	391
118	52	391
119	53	390
120	53	389
121	54	389
122	54	388
123	55	393
124	56	392
125	56	391
126	56	391
127	57	390
128	57	390
129	58	389
130	58	389
131	59	388
132	59	388
133	59	387
134	60	387
135	60	386
136	61	386
137	61	385
138	62	384
139	62	385
140	63	385
141	63	386
142	64	385
143	64	385
144	65	384
145	65	383
146	66	383
147	66	381
148	66	381
149	67	380
150	67	379
151	68	379
152	68	378
153	68	378
154	69	377
155	69	377
156	70	376
157	70	376
158	71	376
159	71	375
160	72	375
161	72	376
162	73	377
163	74	380
164	74	379
165	75	378
166	75	378
167	76	377
168	76	376
169	77	376
170	77	375
171	78	375
172	78	376
173	79	376
174	79	375
175	80	374
176	80	374
177	80	373
178	81	374
179	83	378
180	83	378
181	84	377
182	84	377
183	84	376
184	85	375
185	85	374
186	86	374
187	86	373
188	86	372
189	87	372
190	87	371
191	88	370
192	88	370
193	88	369
194	89	368
195	89	368
196	90	367
197	90	367
198	91	367
199	91	366
200	92	365
201	92	365
202	92	364
203	93	364
204	93	363
205	94	362
206	94	362
207	94	361
208	95	360
209	95	360
210	96	359
211	96	359
212	97	358
213	97	357
214	97	357
215	98	356
216	98	355
217	99	355
218	99	355
219	100	354
220	100	354
221	100	353
222	101	352
223	101	352
224	102	351
225	102	350
226	102	350
227	103	349
228	103	349
229	104	348
230	104	347
231	104	347
232	105	346
233	105	346
234	106	345
235	106	344
236	106	344
237	107	343
238	107	342
239	108	342
240	108	341
241	109	341
242	110	344
243	110	343
244	111	343
245	111	342
246	112	341
247	112	341
248	112	340
249	113	340
250	113	339
251	114	340
252	115	340
253	115	339
254	116	339
255	116	338
256	116	337
257	117	337
258	117	337
259	118	337
260	119	337
261	119	337
262	120	336
263	120	336
264	121	335
265	121	335
266	121	334
267	122	333
268	122	333
269	123	332
270	123	332
271	123	331
272	124	331
273	124	330
274	125	330
275	125	329
276	126	329
277	126	328
278	127	328
279	127	328
280	128	327
281	128	327
282	128	326
283	129	326
284	129	325
285	130	324
286	130	323
287	130	323
288	131	322
289	131	321
290	131	321
291	132	320
292	132	320
293	133	319
294	133	319
295	133	318
296	134	317
297	134	317
298	135	316
299	135	316
300	137	318
301	137	318
302	138	317
303	138	317
304	139	316
305	139	316
306	139	315
307	140	315
308	140	314
309	141	313
310	141	313
311	141	312
312	142	312
313	142	311
314	143	311
315	143	310
316	143	310
317	144	309
318	144	308
319	145	310
320	146	310
321	147	310
322	147	309
323	148	309
324	148	308
325	149	308
326	149	307
327	149	306
328	150	306
329	150	305
330	151	305
331	151	304
332	151	304
333	152	303
334	152	303
335	153	302
336	153	302
337	154	302
338	154	301
339	155	301
340	155	300
341	155	300
342	156	299
343	156	299
344	157	298
345	157	298
346	158	297
347	158	297
348	158	296
349	159	295
350	159	295
351	160	294
352	160	294
353	160	293
354	161	293
355	161	292
356	162	292
357	162	291
358	163	291
359	164	292
360	165	292
361	165	291
362	165	291
363	166	290
364	166	290
365	167	289
366	167	289
367	168	288
368	168	288
369	168	287
370	169	286
371	169	286
372	170	285
373	170	285
374	171	285
375	171	284
376	171	283
377	172	283
378	173	284
379	174	284
380	174	283
381	174	283
382	175	282
383	175	281
384	176	281
385	176	280
386	176	280
387	177	279
388	177	278
389	177	278
390	178	277
391	178	277
392	179	276
393	179	276
394	179	275
395	180	275
396	180	274
397	181	274
398	182	274
399	182	273
400	182	273
401	183	272
402	183	272
403	184	271
404	184	270
405	184	270
406	185	269
407	185	269
408	186	268
409	186	268
410	186	267
411	187	267
412	187	266
413	188	266
414	188	265
415	188	264
416	189	264
417	189	263
418	189	263
419	190	263
420	190	262
421	191	262
422	191	261
423	192	261
424	192	260
425	192	260
426	193	259
427	193	258
428	194	258
429	194	257
430	194	257
431	195	256
432	195	256
433	196	255
434	196	255
435	196	254
436	197	253
437	197	253
438	197	252
439	198	252
440	198	251
441	199	251
442	200	252
443	201	252
444	201	251
445	202	250
446	202	250
447	202	249
448	203	249
449	203	248
450	204	248
451	204	247
452	204	247
453	205	246
454	205	246
455	206	245
456	206	245
457	206	244
458	207	244
459	207	243
460	207	243
461	208	242
462	209	243
463	210	243
464	210	242
465	211	241
466	211	241
467	211	240
468	212	240
469	212	239
470	213	239
471	213	238
472	213	238
473	214	237
474	214	237
475	215	236
476	215	236
477	215	235
478	216	235
479	216	234
480	217	234
481	217	234
482	218	233
483	218	233
484	219	232
485	219	232
486	219	231
487	220	231
488	220	230
489	221	230
490	221	229
491	221	228
492	222	228
493	222	227
494	222	227
495	223	226
496	223	226
497	224	225
498	224	225
499	224	224
500	225	224
