user_id,recomendations
1,"[874972, 961554, 962568, 1004906, 1037863]"
2,"[874972, 1133018, 866211, 951590, 899624]"
3,"[874972, 1133018, 908531, 13842214, 989069]"
4,"[874972, 1082185, 1029743, 1127831, 951590]"
5,"[874972, 1082185, 1106523, 1127831, 951590]"
6,"[874972, 995242, 986912, 840361, 1037863]"
7,"[14106445, 1133018, 961554, 1082185, 5568378]"
8,"[874972, 1082185, 1029743, 1004906, 857503]"
9,"[874972, 995242, 918046, 1056005, 883404]"
10,"[874972, 1106523, 986912, 1043766, 1082185]"
11,"[874972, 1082185, 1029743, 1127831, 951590]"
12,"[874972, 1082185, 1029743, 1127831, 951590]"
13,"[874972, 1082185, 995242, 923746, 951590]"
14,"[9835223, 1029743, 981760, 844179, 5568378]"
15,"[874972, 1070820, 1127179, 901666, 1098844]"
16,"[874972, 12263788, 1082185, 1029743, 1106523]"
17,"[874972, 1029743, 1127831, 1082185, 951590]"
18,"[878715, 840361, 866211, 951412, 990797]"
19,"[874972, 1106523, 840361, 1082185, 844179]"
20,"[874972, 923746, 995965, 1126899, 1075368]"
21,"[874972, 995242, 834117, 896369, 1042907]"
22,"[956599, 1070820, 854852, 1082185, 995965]"
23,"[1034176, 12648296, 1082185, 1029743, 1106523]"
24,"[844462, 1082185, 5568378, 1106523, 866211]"
25,"[874972, 995242, 1043751, 844179, 8090521]"
26,"[874972, 1081177, 990797, 1050851, 1106301]"
27,"[874972, 1082185, 949965, 986912, 9419470]"
28,"[948670, 878996, 921836, 943233, 1119051]"
29,"[874972, 1082185, 1029743, 1106523, 1127831]"
30,"[874972, 995242, 1082185, 1029743, 1106523]"
31,"[860248, 1082185, 981760, 1070820, 916122]"
32,"[1051046, 981760, 1058997, 992986, 1009449]"
33,"[836445, 871756, 1081177, 1106301, 5981267]"
34,"[874972, 1101010, 856772, 993638, 1044805]"
35,"[874972, 1053690, 1082185, 1029743, 1106523]"
36,"[874972, 1082185, 916122, 1029743, 866211]"
37,"[874972, 1122358, 1046689, 1097001, 1014458]"
38,"[874972, 1082185, 1029743, 1127831, 951590]"
39,"[874972, 893018, 8090440, 1102927, 974108]"
40,"[874972, 916122, 845208, 1082185, 995242]"
41,"[874972, 12810393, 845307, 1082185, 865705]"
42,"[874972, 1029743, 1082185, 981760, 916122]"
43,"[874972, 1095068, 1082185, 1029743, 1106523]"
44,"[874972, 1082185, 1029743, 1127831, 951590]"
45,"[874972, 1082185, 1029743, 1127831, 951590]"
46,"[1108094, 1068719, 866211, 1082185, 1029743]"
47,"[9677366, 1040935, 9487606, 907308, 1126252]"
48,"[874972, 1082185, 1029743, 1127831, 951590]"
49,"[1000753, 840361, 862349, 916122, 908531]"
50,"[874972, 1029743, 962229, 908531, 965766]"
51,"[874972, 1082185, 981760, 1029743, 1004906]"
52,"[874972, 832678, 1074524, 1106523, 1082185]"
53,"[874972, 1082185, 844179, 6034857, 5569471]"
54,"[874972, 1082185, 1029743, 1127831, 951590]"
55,"[874972, 1082185, 995242, 899624, 844165]"
56,"[848029, 1082185, 844179, 1058997, 5569230]"
57,"[874972, 854852, 965766, 979707, 1074524]"
58,"[874972, 1082185, 1070820, 903325, 901062]"
59,"[10150194, 1133018, 899624, 833025, 826385]"
60,"[874972, 1082185, 1029743, 1127831, 951590]"
61,"[874972, 1082185, 1029743, 1127831, 951590]"
62,"[874972, 1082185, 1029743, 1106523, 1127831]"
63,"[874972, 847344, 1082185, 1029743, 1106523]"
64,"[982469, 909894, 1056762, 1004906, 839419]"
65,"[874972, 5568378, 965766, 986912, 1118281]"
66,"[874972, 1082185, 1029743, 1127831, 951590]"
67,"[12810391, 1082185, 995242, 1068719, 951590]"
68,"[874972, 1044078, 5568378, 995242, 981760]"
69,"[874972, 1068719, 981760, 1106523, 1044078]"
70,"[874972, 1039156, 1082185, 1029743, 1106523]"
71,"[874972, 995242, 1082185, 1068719, 840361]"
72,"[874972, 1082185, 1029743, 1106523, 1127831]"
73,"[874972, 1082185, 1029743, 1127831, 951590]"
74,"[874972, 1082185, 1029743, 1127831, 951590]"
75,"[874972, 1082185, 1029743, 1106523, 1127831]"
76,"[874972, 1082185, 1029743, 1127831, 951590]"
77,"[874972, 1106523, 840361, 1082185, 981760]"
78,"[874972, 923746, 12262992, 1082185, 896369]"
79,"[874972, 862349, 871756, 1053690, 921504]"
80,"[874972, 986912, 901062, 1121360, 9926758]"
81,"[874972, 995242, 840601, 1000050, 1076769]"
82,"[874972, 929726, 917816, 12731299, 1082185]"
83,"[874972, 840361, 1075214, 1082185, 1029743]"
84,"[874972, 830887, 1082185, 1029743, 1106523]"
85,"[14106445, 840361, 859075, 1139782, 1076056]"
86,"[874972, 951590, 971922, 1106523, 1101010]"
87,"[874972, 1082185, 1029743, 1106523, 1127831]"
88,"[874972, 1082185, 1070820, 981760, 840361]"
89,"[874972, 1082185, 1029743, 1127831, 951590]"
90,"[874972, 1082185, 1070820, 1027569, 1036347]"
91,"[874972, 1095100, 845622, 1029743, 1088147]"
92,"[874972, 880150, 900802, 5568721, 1080853]"
93,"[874972, 1082185, 1029743, 1127831, 951590]"
94,"[874972, 1082185, 866211, 840361, 878996]"
95,"[874972, 1082185, 979707, 995242, 908531]"
96,"[874972, 1082185, 1029743, 1127831, 951590]"
97,"[874972, 1082185, 840361, 995242, 844179]"
98,"[874972, 866211, 1058997, 1091858, 1120443]"
99,"[874972, 1082185, 866211, 995242, 5568378]"
100,"[863762, 12810393, 907631, 985999, 931671]"
101,"[12731432, 1082185, 862349, 916122, 8090521]"
102,"[874972, 1082185, 1029743, 1127831, 951590]"
103,"[874972, 1082185, 1029743, 1106523, 1127831]"
104,"[874972, 854852, 995242, 1082185, 933835]"
105,"[874972, 1082185, 845208, 965766, 923746]"
106,"[874972, 844179, 916122, 962568, 8090521]"
107,"[874972, 1037840, 916381, 1082185, 1029743]"
108,"[874972, 1082185, 1029743, 1127831, 951590]"
109,"[874972, 1082185, 916122, 962568, 908531]"
110,"[874972, 1044078, 1096036, 1106523, 859075]"
111,"[874972, 8090536, 840601, 12811532, 6602327]"
112,"[874972, 7168026, 12384177, 1082185, 1029743]"
113,"[874972, 1082185, 840361, 1070820, 844179]"
114,"[10150194, 1044078, 896369, 1029743, 5568489]"
115,"[947858, 1133018, 913210, 981760, 908531]"
116,"[874972, 1037863, 923746, 850058, 1082185]"
117,"[874972, 995242, 962229, 1082185, 1019643]"
118,"[9524291, 845208, 1006184, 1082185, 1058997]"
119,"[874972, 995242, 1082185, 962568, 940947]"
120,"[874972, 1082185, 1029743, 1127831, 951590]"
121,"[874972, 840361, 8090537, 929726, 863447]"
122,"[874972, 1053176, 7409971, 1035676, 9419525]"
123,"[874972, 981760, 1029743, 1004906, 8090509]"
124,"[874972, 844179, 12263788, 833025, 1035676]"
125,"[14106445, 995242, 916122, 844179, 866211]"
126,"[874972, 898068, 1019247, 962185, 1082185]"
127,"[874972, 1082185, 995242, 1044078, 844179]"
128,"[874972, 1029743, 1082185, 981760, 866211]"
129,"[874972, 1082185, 1029743, 1127831, 951590]"
130,"[874972, 1082185, 1029743, 1127831, 951590]"
131,"[874972, 990656, 1075214, 1082185, 1048068]"
132,"[1139216, 1126899, 866211, 1082185, 854852]"
133,"[874972, 1082185, 995242, 866211, 979707]"
134,"[874972, 5592931, 913210, 838186, 6533362]"
135,"[874972, 879876, 13115813, 852360, 826249]"
136,"[874972, 899624, 962568, 8090537, 1038462]"
137,"[874972, 1082185, 1029743, 1127831, 951590]"
138,"[874972, 5569230, 912137, 9836106, 1009449]"
139,"[12262830, 5569230, 976199, 1082185, 1058997]"
140,"[874972, 832678, 914190, 892531, 951821]"
141,"[831407, 1108854, 1048472, 1082185, 1029743]"
142,"[874972, 990797, 838186, 1074524, 1082212]"
143,"[874972, 965766, 999270, 1106523, 978077]"
144,"[874972, 1082185, 1029743, 1127831, 951590]"
