user_id,recomendations
1,"[1082185, 940947, 840361, 995242, 986947]"
2,"[940947, 1106523, 1133018, 861272, 1075368]"
3,"[1106523, 1133018, 1092026, 951590, 938700]"
4,"[1029743, 883404, 1075368, 1044078, 5569230]"
5,"[1126899, 5568378, 1050851, 1071939, 834484]"
6,"[1082185, 845208, 1037863, 840361, 5569230]"
7,"[1082185, 5568378, 1022003, 1013321, 1126899]"
8,"[1082185, 840361, 5569471, 5569230, 1110843]"
9,"[1029743, 1070820, 849843, 962229, 1056509]"
10,"[1082185, 883003, 899624, 1106523, 868764]"
11,"[1082185, 6534178, 995242, 1005186, 908318]"
12,"[981760, 862349, 866211, 1040807, 995965]"
13,"[6534178, 1029743, 995242, 923746, 951590]"
14,"[1029743, 981760, 951590, 6534178, 844165]"
15,"[1082185, 1029743, 995242, 1070820, 1026118]"
16,"[1082185, 1029743, 995242, 883404, 951590]"
17,"[1053763, 1044078, 1082185, 995242, 857849]"
18,"[995242, 6533889, 840361, 1116821, 847270]"
19,"[1029743, 6534178, 1033615, 962229, 1070015]"
20,"[6534178, 840361, 6533765, 883404, 1126899]"
21,"[1029743, 1106523, 6534178, 1033615, 896369]"
22,"[1082185, 5978656, 6534178, 826249, 995965]"
23,"[1029743, 6534178, 1075368, 995242, 824005]"
24,"[1133018, 1092026, 883404, 844165, 1106523]"
25,"[861272, 1029743, 5568378, 995242, 883404]"
26,"[1029743, 995242, 923746, 994928, 1070015]"
27,"[1082185, 1077555, 1003600, 1076056, 847982]"
28,"[940947, 6534178, 1005186, 1075368, 1065593]"
29,"[995242, 883404, 5568378, 1044078, 1050851]"
30,"[1106523, 6534178, 923746, 1005186, 903325]"
31,"[6534178, 5978656, 5978648, 1126899, 1040807]"
32,"[6534178, 1058997, 1005186, 6034857, 862349]"
33,"[1106523, 1005186, 986912, 871756, 1096036]"
34,"[6534178, 883404, 986912, 1065593, 999971]"
35,"[1029743, 940947, 6534178, 1058997, 908531]"
36,"[1029743, 995242, 826249, 962229, 1024306]"
37,"[1106523, 844165, 6533889, 1092026, 834117]"
38,"[1082185, 868764, 986912, 866211, 1085604]"
39,"[1082185, 995785, 1126899, 923746, 826249]"
40,"[1082185, 6534178, 995242, 903325, 927191]"
41,"[1126899, 913210, 1082185, 976998, 909714]"
42,"[1082185, 976998, 981760, 923746, 994928]"
43,"[1120741, 844165, 879755, 908531, 994928]"
44,"[1005186, 981760, 1026118, 849843, 986912]"
45,"[1106523, 908531, 844165, 1070015, 1044078]"
46,"[995242, 826249, 1127831, 857503, 1029743]"
47,"[861272, 995242, 1005186, 995785, 951590]"
48,"[6534178, 1106523, 1071939, 1044078, 8090521]"
49,"[1082185, 6534178, 962229, 5569471, 893501]"
50,"[1133018, 908531, 1005186, 1132770, 962229]"
51,"[1029743, 1005186, 965766, 951590, 962229]"
52,"[1082185, 1053690, 857503, 995785, 1106523]"
53,"[5569471, 6034857, 999858, 6534178, 1058997]"
54,"[1082185, 1029743, 6534178, 995242, 908531]"
55,"[849843, 844165, 871756, 995242, 885290]"
56,"[981760, 5569230, 1058997, 1101010, 832678]"
57,"[995785, 986912, 1133018, 6534178, 1033615]"
58,"[6534178, 1127831, 862349, 995785, 1070820]"
59,"[845208, 981760, 834484, 1133018, 995785]"
60,"[1029743, 6534178, 995785, 1013321, 1040807]"
61,"[1082185, 1029743, 1106523, 6534178, 995242]"
62,"[1082185, 1029743, 1106523, 6534178, 1133018]"
63,"[1082185, 1029743, 1106523, 6534178, 1133018]"
64,"[840361, 894236, 1133018, 976998, 1065593]"
65,"[965766, 962229, 1029743, 849843, 844165]"
66,"[1029743, 1133018, 908531, 1070015, 8090521]"
67,"[6534178, 1029743, 951590, 5978656, 862349]"
68,"[883404, 1029743, 981760, 951590, 995242]"
69,"[1106523, 1044078, 951590, 1133018, 5592931]"
70,"[894236, 1039156, 1029743, 1082185, 6534178]"
71,"[908531, 1056509, 1029743, 899624, 1044078]"
72,"[1082185, 860776, 5585510, 1070820, 862349]"
73,"[1082185, 1070820, 6534178, 6533889, 1005186]"
74,"[1082185, 981760, 1106523, 1133018, 1077555]"
75,"[1082185, 1029743, 1106523, 6534178, 1133018]"
76,"[1058997, 927191, 1026118, 6034857, 903325]"
77,"[1082185, 1126899, 981760, 1106523, 1003188]"
78,"[1082185, 1120741, 1003188, 896369, 923746]"
79,"[1070015, 5978656, 1082185, 6533889, 908531]"
80,"[1082185, 1005186, 866211, 995242, 6534178]"
81,"[1096036, 999971, 1029743, 909894, 844165]"
82,"[1082185, 1029743, 6534178, 995242, 5569230]"
